STATION;Annee;EAQI_GLOBAL;POLLUANT;SIGLE POLLUANT;Mean-HourCalculation;Unit;EAQI_Index
ES1090A;2006;GOOD;Ozone (air);O3;23,788;µg/m3;GOOD
ES1397A;2007;GOOD;Nitrogen dioxide (air);NO2;22,329;µg/m3;GOOD
ES1397A;2007;GOOD;Sulphur dioxide (air);SO2;17,945;µg/m3;GOOD
ES1397A;2007;GOOD;Ozone (air);O3;38,484;µg/m3;GOOD
ES1642A;2009;GOOD;Ozone (air);O3;46,165;µg/m3;GOOD
ES0118A;2003;GOOD;Ozone (air);O3;30,545;µg/m3;GOOD
FR13009;2011;FAIR;Nitrogen dioxide (air);NO2;29,604;µg/m3;GOOD
FR13009;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;27,315;µg/m3;FAIR
ES1788A;2008;FAIR;Nitrogen dioxide (air);NO2;18,059;µg/m3;GOOD
ES1788A;2008;FAIR;Sulphur dioxide (air);SO2;1,376;µg/m3;GOOD
ES1788A;2008;FAIR;Ozone (air);O3;50,097;µg/m3;FAIR
ES0812A;2011;GOOD;Nitrogen dioxide (air);NO2;7,111;µg/m3;GOOD
ES0812A;2011;GOOD;Sulphur dioxide (air);SO2;3,209;µg/m3;GOOD
ES1217A;2010;FAIR;Ozone (air);O3;61,317;µg/m3;FAIR
ES1697A;2011;FAIR;Nitrogen dioxide (air);NO2;24,607;µg/m3;GOOD
ES1697A;2011;FAIR;Sulphur dioxide (air);SO2;3,046;µg/m3;GOOD
ES1697A;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;27,016;µg/m3;FAIR
ES1697A;2011;FAIR;Ozone (air);O3;46,432;µg/m3;GOOD
ES1577A;2008;FAIR;Nitrogen dioxide (air);NO2;21,065;µg/m3;GOOD
ES1577A;2008;FAIR;Sulphur dioxide (air);SO2;3,951;µg/m3;GOOD
ES1577A;2008;FAIR;Particulate matter < 10 µm (aerosol);PM10;35,776;µg/m3;FAIR
ES1577A;2008;FAIR;Ozone (air);O3;45,686;µg/m3;GOOD
ES1718A;2008;FAIR;Particulate matter < 10 µm (aerosol);PM10;29,046;µg/m3;FAIR
FR04160;2007;GOOD;Nitrogen dioxide (air);NO2;34,525;µg/m3;GOOD
FR04160;2007;GOOD;Ozone (air);O3;37,895;µg/m3;GOOD
FR04145;2012;GOOD;Nitrogen dioxide (air);NO2;23,162;µg/m3;GOOD
FR04145;2012;GOOD;Ozone (air);O3;42,408;µg/m3;GOOD
FR02001;2002;FAIR;Nitrogen dioxide (air);NO2;27,736;µg/m3;GOOD
FR02001;2002;FAIR;Sulphur dioxide (air);SO2;18,005;µg/m3;GOOD
FR02001;2002;FAIR;Ozone (air);O3;60,272;µg/m3;FAIR
FR25038;2009;FAIR;Ozone (air);O3;52,533;µg/m3;FAIR
ES1604A;2011;FAIR;Nitrogen dioxide (air);NO2;12,479;µg/m3;GOOD
ES1604A;2011;FAIR;Sulphur dioxide (air);SO2;3,774;µg/m3;GOOD
ES1604A;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;14,138;µg/m3;GOOD
ES1604A;2011;FAIR;Ozone (air);O3;61,808;µg/m3;FAIR
FR11017;2004;GOOD;Sulphur dioxide (air);SO2;3,52;µg/m3;GOOD
FR35006;1999;GOOD;Nitrogen dioxide (air);NO2;19,014;µg/m3;GOOD
FR35006;1999;GOOD;Ozone (air);O3;40,081;µg/m3;GOOD
ES1095A;2003;GOOD;Nitrogen dioxide (air);NO2;6,654;µg/m3;GOOD
ES1095A;2003;GOOD;Sulphur dioxide (air);SO2;3,613;µg/m3;GOOD
ES1095A;2003;GOOD;Particulate matter < 10 µm (aerosol);PM10;11,302;µg/m3;GOOD
FR20026;2001;FAIR;Nitrogen dioxide (air);NO2;60,178;µg/m3;FAIR
FR20026;2001;FAIR;Sulphur dioxide (air);SO2;8,948;µg/m3;GOOD
FR33212;2012;FAIR;Nitrogen dioxide (air);NO2;21,553;µg/m3;GOOD
FR33212;2012;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;15,224;µg/m3;FAIR
FR33212;2012;FAIR;Particulate matter < 10 µm (aerosol);PM10;17,828;µg/m3;GOOD
FR33212;2012;FAIR;Ozone (air);O3;45,858;µg/m3;GOOD
FR08004;2004;FAIR;Nitrogen dioxide (air);NO2;64,715;µg/m3;FAIR
FR09014;2001;FAIR;Nitrogen dioxide (air);NO2;15,674;µg/m3;GOOD
FR09014;2001;FAIR;Ozone (air);O3;50,65;µg/m3;FAIR
FR02005;2007;GOOD;Nitrogen dioxide (air);NO2;25,245;µg/m3;GOOD
FR02005;2007;GOOD;Sulphur dioxide (air);SO2;8,714;µg/m3;GOOD
FR01009;2003;GOOD;Sulphur dioxide (air);SO2;6,147;µg/m3;GOOD
FR11019;2005;FAIR;Nitrogen dioxide (air);NO2;42,888;µg/m3;FAIR
ES0324A;2005;FAIR;Nitrogen dioxide (air);NO2;6,358;µg/m3;GOOD
ES0324A;2005;FAIR;Sulphur dioxide (air);SO2;3,704;µg/m3;GOOD
ES0324A;2005;FAIR;Particulate matter < 10 µm (aerosol);PM10;13,853;µg/m3;GOOD
ES0324A;2005;FAIR;Ozone (air);O3;62,764;µg/m3;FAIR
FR18034;2001;GOOD;Nitrogen dioxide (air);NO2;21,517;µg/m3;GOOD
FR18034;2001;GOOD;Ozone (air);O3;37,048;µg/m3;GOOD
ES1605A;2004;GOOD;Ozone (air);O3;45,663;µg/m3;GOOD
ES1349A;2010;FAIR;Nitrogen dioxide (air);NO2;24,714;µg/m3;GOOD
ES1349A;2010;FAIR;Sulphur dioxide (air);SO2;7,144;µg/m3;GOOD
ES1349A;2010;FAIR;Particulate matter < 10 µm (aerosol);PM10;24,485;µg/m3;FAIR
ES1349A;2010;FAIR;Ozone (air);O3;31,942;µg/m3;GOOD
ES1651A;2007;FAIR;Nitrogen dioxide (air);NO2;21,122;µg/m3;GOOD
ES1651A;2007;FAIR;Sulphur dioxide (air);SO2;18,413;µg/m3;GOOD
ES1651A;2007;FAIR;Particulate matter < 10 µm (aerosol);PM10;27,001;µg/m3;FAIR
ES1651A;2007;FAIR;Ozone (air);O3;21,671;µg/m3;GOOD
PT01047;2009;FAIR;Nitrogen dioxide (air);NO2;4,052;µg/m3;GOOD
PT01047;2009;FAIR;Sulphur dioxide (air);SO2;1,097;µg/m3;GOOD
PT01047;2009;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;10,145;µg/m3;FAIR
PT01047;2009;FAIR;Particulate matter < 10 µm (aerosol);PM10;15,876;µg/m3;GOOD
PT01047;2009;FAIR;Ozone (air);O3;60,903;µg/m3;FAIR
FR08016;2003;FAIR;Nitrogen dioxide (air);NO2;31,748;µg/m3;GOOD
FR08016;2003;FAIR;Sulphur dioxide (air);SO2;7,14;µg/m3;GOOD
FR08016;2003;FAIR;Ozone (air);O3;58,344;µg/m3;FAIR
FR04023;2000;GOOD;Nitrogen dioxide (air);NO2;22,373;µg/m3;GOOD
FR04023;2000;GOOD;Ozone (air);O3;49,555;µg/m3;GOOD
ES1892A;2010;FAIR;Nitrogen dioxide (air);NO2;40,975;µg/m3;FAIR
ES1892A;2010;FAIR;Sulphur dioxide (air);SO2;2,145;µg/m3;GOOD
ES1892A;2010;FAIR;Ozone (air);O3;47,951;µg/m3;GOOD
FR33303;2004;FAIR;Nitrogen dioxide (air);NO2;15,636;µg/m3;GOOD
FR33303;2004;FAIR;Ozone (air);O3;52,819;µg/m3;FAIR
FR07015;2003;MODERATE;Nitrogen dioxide (air);NO2;2,989;µg/m3;GOOD
FR07015;2003;MODERATE;Ozone (air);O3;100,84;µg/m3;MODERATE
FR34003;2011;GOOD;Ozone (air);O3;45,369;µg/m3;GOOD
FR11026;2008;GOOD;Nitrogen dioxide (air);NO2;25,147;µg/m3;GOOD
FR11026;2008;GOOD;Ozone (air);O3;41,93;µg/m3;GOOD
FR16037;2000;FAIR;Nitrogen dioxide (air);NO2;48,227;µg/m3;FAIR
FR16037;2000;FAIR;Ozone (air);O3;36,375;µg/m3;GOOD
FR18008;2009;GOOD;Nitrogen dioxide (air);NO2;18,116;µg/m3;GOOD
FR18008;2009;GOOD;Ozone (air);O3;48,688;µg/m3;GOOD
ES1047A;2005;FAIR;Nitrogen dioxide (air);NO2;56,028;µg/m3;FAIR
ES1047A;2005;FAIR;Sulphur dioxide (air);SO2;14,139;µg/m3;GOOD
ES1047A;2005;FAIR;Particulate matter < 10 µm (aerosol);PM10;32,065;µg/m3;FAIR
ES1047A;2005;FAIR;Ozone (air);O3;34,67;µg/m3;GOOD
FR16055;2000;GOOD;Nitrogen dioxide (air);NO2;27,665;µg/m3;GOOD
FR14006;2006;GOOD;Nitrogen dioxide (air);NO2;35,789;µg/m3;GOOD
FR14006;2006;GOOD;Sulphur dioxide (air);SO2;3,853;µg/m3;GOOD
FR31022;2005;GOOD;Sulphur dioxide (air);SO2;24,894;µg/m3;GOOD
FR17016;2010;FAIR;Nitrogen dioxide (air);NO2;18,75;µg/m3;GOOD
FR17016;2010;FAIR;Ozone (air);O3;74,046;µg/m3;FAIR
PT03095;2005;FAIR;Nitrogen dioxide (air);NO2;27,172;µg/m3;GOOD
PT03095;2005;FAIR;Sulphur dioxide (air);SO2;10,696;µg/m3;GOOD
PT03095;2005;FAIR;Particulate matter < 10 µm (aerosol);PM10;36,962;µg/m3;FAIR
PT03095;2005;FAIR;Ozone (air);O3;52,972;µg/m3;FAIR
ES1685A;2008;MODERATE;Nitrogen dioxide (air);NO2;27,753;µg/m3;GOOD
ES1685A;2008;MODERATE;Sulphur dioxide (air);SO2;4,426;µg/m3;GOOD
ES1685A;2008;MODERATE;Particulate matter < 2.5 µm (aerosol);PM2.5;20,112;µg/m3;MODERATE
ES1685A;2008;MODERATE;Particulate matter < 10 µm (aerosol);PM10;38,078;µg/m3;FAIR
ES1685A;2008;MODERATE;Ozone (air);O3;50,804;µg/m3;FAIR
ES1133A;2003;FAIR;Nitrogen dioxide (air);NO2;23,545;µg/m3;GOOD
ES1133A;2003;FAIR;Sulphur dioxide (air);SO2;17,641;µg/m3;GOOD
ES1133A;2003;FAIR;Particulate matter < 10 µm (aerosol);PM10;37,509;µg/m3;FAIR
ES1133A;2003;FAIR;Ozone (air);O3;46,025;µg/m3;GOOD
FR08204;2004;FAIR;Nitrogen dioxide (air);NO2;13,031;µg/m3;GOOD
FR08204;2004;FAIR;Sulphur dioxide (air);SO2;2,497;µg/m3;GOOD
FR08204;2004;FAIR;Ozone (air);O3;63,864;µg/m3;FAIR
ES1529A;2010;FAIR;Nitrogen dioxide (air);NO2;19,835;µg/m3;GOOD
ES1529A;2010;FAIR;Sulphur dioxide (air);SO2;3,921;µg/m3;GOOD
ES1529A;2010;FAIR;Particulate matter < 10 µm (aerosol);PM10;22,647;µg/m3;FAIR
ES1529A;2010;FAIR;Ozone (air);O3;50,607;µg/m3;FAIR
FR03022;2005;GOOD;Sulphur dioxide (air);SO2;3,938;µg/m3;GOOD
FR04034;2005;GOOD;Nitrogen dioxide (air);NO2;37,036;µg/m3;GOOD
FR04034;2005;GOOD;Sulphur dioxide (air);SO2;5,092;µg/m3;GOOD
FR04034;2005;GOOD;Ozone (air);O3;38,694;µg/m3;GOOD
FR20019;2000;FAIR;Nitrogen dioxide (air);NO2;56,868;µg/m3;FAIR
FR07039;2009;GOOD;Nitrogen dioxide (air);NO2;32,729;µg/m3;GOOD
PT03089;2007;FAIR;Nitrogen dioxide (air);NO2;17,574;µg/m3;GOOD
PT03089;2007;FAIR;Sulphur dioxide (air);SO2;1,506;µg/m3;GOOD
PT03089;2007;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;12,393;µg/m3;FAIR
PT03089;2007;FAIR;Particulate matter < 10 µm (aerosol);PM10;28,103;µg/m3;FAIR
PT03089;2007;FAIR;Ozone (air);O3;65,825;µg/m3;FAIR
FR02003;2012;GOOD;Sulphur dioxide (air);SO2;2,403;µg/m3;GOOD
ES1417A;2002;FAIR;Ozone (air);O3;67,62;µg/m3;FAIR
ES1547A;2012;GOOD;Sulphur dioxide (air);SO2;9,671;µg/m3;GOOD
ES0122A;2008;GOOD;Ozone (air);O3;37,97;µg/m3;GOOD
ES2004A;2011;FAIR;Nitrogen dioxide (air);NO2;11,365;µg/m3;GOOD
ES2004A;2011;FAIR;Sulphur dioxide (air);SO2;19,192;µg/m3;GOOD
ES2004A;2011;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;5,604;µg/m3;GOOD
ES2004A;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;30,274;µg/m3;FAIR
ES2004A;2011;FAIR;Ozone (air);O3;56,567;µg/m3;FAIR
ES1867A;2012;FAIR;Nitrogen dioxide (air);NO2;12,661;µg/m3;GOOD
ES1867A;2012;FAIR;Sulphur dioxide (air);SO2;3,906;µg/m3;GOOD
ES1867A;2012;FAIR;Particulate matter < 10 µm (aerosol);PM10;23,659;µg/m3;FAIR
ES1867A;2012;FAIR;Ozone (air);O3;52,352;µg/m3;FAIR
FR20017;2010;GOOD;Nitrogen dioxide (air);NO2;35,168;µg/m3;GOOD
FR20017;2010;GOOD;Sulphur dioxide (air);SO2;1,957;µg/m3;GOOD
FR20017;2010;GOOD;Ozone (air);O3;42,186;µg/m3;GOOD
ES1641A;2011;FAIR;Nitrogen dioxide (air);NO2;26,684;µg/m3;GOOD
ES1641A;2011;FAIR;Sulphur dioxide (air);SO2;1,994;µg/m3;GOOD
ES1641A;2011;FAIR;Particulate matter < 10 µm (aerosol);PM10;22,375;µg/m3;FAIR
ES1641A;2011;FAIR;Ozone (air);O3;57,224;µg/m3;FAIR
ES1519A;2003;MODERATE;Nitrogen dioxide (air);NO2;15,853;µg/m3;GOOD
ES1519A;2003;MODERATE;Particulate matter < 10 µm (aerosol);PM10;41,021;µg/m3;MODERATE
ES1519A;2003;MODERATE;Ozone (air);O3;51,203;µg/m3;FAIR
ES1119A;2003;FAIR;Nitrogen dioxide (air);NO2;35,592;µg/m3;GOOD
ES1119A;2003;FAIR;Sulphur dioxide (air);SO2;3,833;µg/m3;GOOD
ES1119A;2003;FAIR;Ozone (air);O3;51,296;µg/m3;FAIR
ES1297A;2003;MODERATE;Nitrogen dioxide (air);NO2;21,41;µg/m3;GOOD
ES1297A;2003;MODERATE;Sulphur dioxide (air);SO2;30,326;µg/m3;GOOD
ES1297A;2003;MODERATE;Particulate matter < 10 µm (aerosol);PM10;40,341;µg/m3;MODERATE
ES1297A;2003;MODERATE;Ozone (air);O3;27,291;µg/m3;GOOD
ES1224A;2003;FAIR;Ozone (air);O3;52,488;µg/m3;FAIR
FR02020;2010;FAIR;Nitrogen dioxide (air);NO2;15,569;µg/m3;GOOD
FR02020;2010;FAIR;Sulphur dioxide (air);SO2;3,132;µg/m3;GOOD
FR02020;2010;FAIR;Ozone (air);O3;58,98;µg/m3;FAIR
FR08401;1999;FAIR;Nitrogen dioxide (air);NO2;17,167;µg/m3;GOOD
FR08401;1999;FAIR;Ozone (air);O3;59,814;µg/m3;FAIR
ES1804A;2009;FAIR;Nitrogen dioxide (air);NO2;42,586;µg/m3;FAIR
ES1804A;2009;FAIR;Sulphur dioxide (air);SO2;3,456;µg/m3;GOOD
ES1804A;2009;FAIR;Particulate matter < 10 µm (aerosol);PM10;30,818;µg/m3;FAIR
ES1804A;2009;FAIR;Ozone (air);O3;39,816;µg/m3;GOOD
FR12034;2011;GOOD;Nitrogen dioxide (air);NO2;24,57;µg/m3;GOOD
FR12034;2011;GOOD;Ozone (air);O3;38,646;µg/m3;GOOD
FR18035;2008;GOOD;Nitrogen dioxide (air);NO2;13,975;µg/m3;GOOD
FR18035;2008;GOOD;Ozone (air);O3;43,632;µg/m3;GOOD
PT03089;2005;FAIR;Nitrogen dioxide (air);NO2;16,356;µg/m3;GOOD
PT03089;2005;FAIR;Sulphur dioxide (air);SO2;1,312;µg/m3;GOOD
PT03089;2005;FAIR;Particulate matter < 10 µm (aerosol);PM10;27,503;µg/m3;FAIR
PT03089;2005;FAIR;Ozone (air);O3;68,854;µg/m3;FAIR
FR38010;2012;GOOD;Sulphur dioxide (air);SO2;2,598;µg/m3;GOOD
FR31015;2003;GOOD;Nitrogen dioxide (air);NO2;35,48;µg/m3;GOOD
ES1433A;2009;FAIR;Nitrogen dioxide (air);NO2;14,583;µg/m3;GOOD
ES1433A;2009;FAIR;Sulphur dioxide (air);SO2;3,458;µg/m3;GOOD
ES1433A;2009;FAIR;Particulate matter < 10 µm (aerosol);PM10;25,677;µg/m3;FAIR
ES1433A;2009;FAIR;Ozone (air);O3;45,626;µg/m3;GOOD
ES1632A;2008;FAIR;Nitrogen dioxide (air);NO2;32,184;µg/m3;GOOD
ES1632A;2008;FAIR;Particulate matter < 10 µm (aerosol);PM10;22,708;µg/m3;FAIR
ES1632A;2008;FAIR;Ozone (air);O3;45,485;µg/m3;GOOD
ES1578A;2010;FAIR;Nitrogen dioxide (air);NO2;16,41;µg/m3;GOOD
ES1578A;2010;FAIR;Sulphur dioxide (air);SO2;4,55;µg/m3;GOOD
ES1578A;2010;FAIR;Particulate matter < 10 µm (aerosol);PM10;23,411;µg/m3;FAIR
ES1578A;2010;FAIR;Ozone (air);O3;59,928;µg/m3;FAIR
FR10008;2004;GOOD;Sulphur dioxide (air);SO2;6,761;µg/m3;GOOD
FR12041;2011;FAIR;Ozone (air);O3;62,362;µg/m3;FAIR
PT03097;2004;FAIR;Nitrogen dioxide (air);NO2;26,362;µg/m3;GOOD
PT03097;2004;FAIR;Particulate matter < 10 µm (aerosol);PM10;38,051;µg/m3;FAIR
PT03097;2004;FAIR;Ozone (air);O3;55,335;µg/m3;FAIR
PT01030;2010;MODERATE;Nitrogen dioxide (air);NO2;42,557;µg/m3;FAIR
PT01030;2010;MODERATE;Sulphur dioxide (air);SO2;5,077;µg/m3;GOOD
PT01030;2010;MODERATE;Particulate matter < 10 µm (aerosol);PM10;40,037;µg/m3;MODERATE
FR05070;2008;GOOD;Nitrogen dioxide (air);NO2;26,564;µg/m3;GOOD
FR05070;2008;GOOD;Sulphur dioxide (air);SO2;9,399;µg/m3;GOOD
FR16058;1999;GOOD;Nitrogen dioxide (air);NO2;33,604;µg/m3;GOOD
FR16058;1999;GOOD;Ozone (air);O3;46,071;µg/m3;GOOD
FR31027;2002;FAIR;Ozone (air);O3;91,013;µg/m3;FAIR
FR11033;2002;FAIR;Nitrogen dioxide (air);NO2;19,303;µg/m3;GOOD
FR11033;2002;FAIR;Ozone (air);O3;53,943;µg/m3;FAIR
FR29427;2003;FAIR;Nitrogen dioxide (air);NO2;18,103;µg/m3;GOOD
FR29427;2003;FAIR;Sulphur dioxide (air);SO2;4,008;µg/m3;GOOD
FR29427;2003;FAIR;Ozone (air);O3;55,75;µg/m3;FAIR
ES0805A;2001;FAIR;Nitrogen dioxide (air);NO2;34,256;µg/m3;GOOD
ES0805A;2001;FAIR;Sulphur dioxide (air);SO2;13,861;µg/m3;GOOD
ES0805A;2001;FAIR;Particulate matter < 10 µm (aerosol);PM10;32,827;µg/m3;FAIR
ES0805A;2001;FAIR;Ozone (air);O3;30,667;µg/m3;GOOD
FR04099;2009;GOOD;Nitrogen dioxide (air);NO2;36,346;µg/m3;GOOD
FR20038;2002;GOOD;Nitrogen dioxide (air);NO2;30,778;µg/m3;GOOD
FR20038;2002;GOOD;Sulphur dioxide (air);SO2;5,647;µg/m3;GOOD
FR11023;1999;FAIR;Nitrogen dioxide (air);NO2;45,842;µg/m3;FAIR
FR18039;2003;FAIR;Ozone (air);O3;56,761;µg/m3;FAIR
FR41017;2012;FAIR;Nitrogen dioxide (air);NO2;9,008;µg/m3;GOOD
FR41017;2012;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;11,558;µg/m3;FAIR
FR41017;2012;FAIR;Ozone (air);O3;77,14;µg/m3;FAIR
FR38098;2007;GOOD;Nitrogen dioxide (air);NO2;13,607;µg/m3;GOOD
FR38098;2007;GOOD;Sulphur dioxide (air);SO2;11,989;µg/m3;GOOD
ES1750A;2006;FAIR;Nitrogen dioxide (air);NO2;36,958;µg/m3;GOOD
ES1750A;2006;FAIR;Sulphur dioxide (air);SO2;9,914;µg/m3;GOOD
ES1750A;2006;FAIR;Particulate matter < 10 µm (aerosol);PM10;16,969;µg/m3;GOOD
ES1750A;2006;FAIR;Ozone (air);O3;54,226;µg/m3;FAIR
ES1037A;2003;MODERATE;Nitrogen dioxide (air);NO2;40,011;µg/m3;FAIR
ES1037A;2003;MODERATE;Sulphur dioxide (air);SO2;15,189;µg/m3;GOOD
ES1037A;2003;MODERATE;Particulate matter < 10 µm (aerosol);PM10;45,233;µg/m3;MODERATE
ES0120A;2010;FAIR;Nitrogen dioxide (air);NO2;54,64;µg/m3;FAIR
PT01047;2007;FAIR;Nitrogen dioxide (air);NO2;2,865;µg/m3;GOOD
PT01047;2007;FAIR;Sulphur dioxide (air);SO2;2,874;µg/m3;GOOD
PT01047;2007;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;10,694;µg/m3;FAIR
PT01047;2007;FAIR;Particulate matter < 10 µm (aerosol);PM10;16,146;µg/m3;GOOD
PT01047;2007;FAIR;Ozone (air);O3;81,004;µg/m3;FAIR
FR03083;2012;GOOD;Ozone (air);O3;41,448;µg/m3;GOOD
ES1574A;2006;MODERATE;Sulphur dioxide (air);SO2;5,368;µg/m3;GOOD
ES1574A;2006;MODERATE;Particulate matter < 2.5 µm (aerosol);PM2.5;20,564;µg/m3;MODERATE
ES1574A;2006;MODERATE;Particulate matter < 10 µm (aerosol);PM10;41,575;µg/m3;MODERATE
ES1574A;2006;MODERATE;Ozone (air);O3;38,714;µg/m3;GOOD
ES1746A;2005;FAIR;Nitrogen dioxide (air);NO2;7,474;µg/m3;GOOD
ES1746A;2005;FAIR;Sulphur dioxide (air);SO2;4,411;µg/m3;GOOD
ES1746A;2005;FAIR;Particulate matter < 2.5 µm (aerosol);PM2.5;10,346;µg/m3;FAIR
ES1746A;2005;FAIR;Particulate matter < 10 µm (aerosol);PM10;18,77;µg/m3;GOOD
ES1746A;2005;FAIR;Ozone (air);O3;64,062;µg/m3;FAIR
ES1643A;2004;FAIR;Ozone (air);O3;53,188;µg/m3;FAIR
FR03019;2003;FAIR;Sulphur dioxide (air);SO2;7,348;µg/m3;GOOD
FR03019;2003;FAIR;Ozone (air);O3;53,925;µg/m3;FAIR
ES1019A;2000;GOOD;Nitrogen dioxide (air);NO2;33,88;µg/m3;GOOD
ES1019A;2000;GOOD;Sulphur dioxide (air);SO2;4,378;µg/m3;GOOD
ES1019A;2000;GOOD;Ozone (air);O3;38,318;µg/m3;GOOD
ES0651A;2000;GOOD;Nitrogen dioxide (air);NO2;12,899;µg/m3;GOOD
ES0651A;2000;GOOD;Sulphur dioxide (air);SO2;24,038;µg/m3;GOOD
ES0651A;2000;GOOD;Ozone (air);O3;43,384;µg/m3;GOOD
FR16017;2003;GOOD;Nitrogen dioxide (air);NO2;24,879;µg/m3;GOOD
FR16017;2003;GOOD;Sulphur dioxide (air);SO2;4,242;µg/m3;GOOD
FR16017;2003;GOOD;Ozone (air);O3;48,573;µg/m3;GOOD
FR38002;2003;GOOD;Ozone (air);O3;32,979;µg/m3;GOOD
ES1175A;2003;FAIR;Sulphur dioxide (air);SO2;20,728;µg/m3;GOOD
ES1175A;2003;FAIR;Particulate matter < 10 µm (aerosol);PM10;26,382;µg/m3;FAIR
ES1348A;2006;FAIR;Nitrogen dioxide (air);NO2;9,275;µg/m3;GOOD
ES1348A;2006;FAIR;Ozone (air);O3;63,354;µg/m3;FAIR
FR25021;2001;GOOD;Nitrogen dioxide (air);NO2;29,873;µg/m3;GOOD
FR25021;2001;GOOD;Sulphur dioxide (air);SO2;14,176;µg/m3;GOOD
