,Station_ID,Station_name,Latitude,Longitude,Ville,Pays
0,FR25001,1 Mairie-Bois-Guillaume,49.469166,1.119447,ROUEN,FR
1,FR05012,12 Ignauval-Chateau d'eau-Ste. Adresse,49.507221,0.074172,LE HAVRE,FR
2,FR05063,142 BVD STRASBOURG,49.493057,0.114736,,FR
3,FR0437A,15 Hotel de Ville-La Madeleine,50.651669,3.075564,LILLE,FR
4,FR0630A,16 Service d'Hygiene-28 rue du Chateau-Roubaix,50.691944,3.180289,LILLE,FR
5,FR04026,1F77,48.855000,2.596678,,FR
6,FR04019,1F94,48.795277,2.460842,,FR
7,FR1182A,1I92,48.891392,2.240561,,FR
8,FR04072,2F91,48.731388,2.291117,,FR
9,FR04036,2F94,48.772221,2.421114,,FR
10,FR0295A,2Station de ref-rue P. Montet,48.579166,7.764181,STRASBOURG,FR
11,FR0459A,31 Vielle Montagne-12 quai de la Loire,50.964447,1.863622,CALAIS,FR
12,FR05043,43 Frileuse-Rue Rouget de Lisle,49.503613,0.136392,LE HAVRE,FR
13,FR04033,4F75,48.858055,2.349736,NOT SUBMITTED,FR
14,FR04064,5F78,49.016388,1.566125,,FR
15,FR0267A,6 Le Bouscat-Rue de la Liberation-Barriere Medoc,44.855278,-0.592508,BORDEAUX,FR
16,FR25006,6 Lycee d'Etat-Blvd. du 14 juillet-Sotteville-les-Rouens,49.408890,1.083894,ROUEN,FR
17,FR04065,6F78,48.994999,1.744733,,FR
18,FR04144,6F93,48.893059,2.519192,,FR
19,FR25007,7 Port Autonome-Quai R. Wadington-Musoir-St.-Gervais,49.438335,1.042230,ROUEN,FR
20,FR04056,7F78,48.989166,1.809175,,FR
21,FR04138,8F75,48.876942,2.311122,,FR
22,FR18014,A. Thierry COMPIEGNE,49.425556,2.838058,,FR
23,FR05021,A.T.O.-Usine de Gongreville,49.473057,0.222228,LE HAVRE,FR
24,FR27008,A7 Nord-Isère,45.353186,4.804822,SALAISE-SUR-SANNE,FR
25,FR20013,A7 SUD LYONNAIS,45.720025,4.818156,LA MULATIERE,FR
26,FR31019,ABOS,43.359722,-0.566944,ABOS,FR
27,FR24013,ADRECHAS,44.105600,7.227980,VALDEBLORE,FR
28,FR24030,AEROPORT NICE,43.651112,7.204444,NICE,FR
29,FR12010,AFPA,43.572220,1.420280,,FR
30,FR31032,AGEN,44.192222,0.623889,AGEN,FR
31,FR25028,AIR NORMAND ROUEN,49.443890,1.104725,,FR
32,FR09013,AIRVAULT,46.824696,-0.134794,,FR
33,FR09301,AIRVAULT 2,46.824369,-0.135461,AIRVAULT,FR
34,FR03029,AIX CENTRE ECOLE ART,43.530292,5.441386,AIX-EN-PROVENCE,FR
35,FR03036,AIX OUEST BOUFFAN,43.528252,5.414773,,FR
36,FR03048,AIX PLATANES,43.555758,5.461806,AIX-EN-PROVENCE,FR
37,FR03021,AIX ROY RENE,43.524064,5.449575,AIX-EN-PROVENCE,FR
38,FR41001,AJACCIO CANETTO,41.924686,8.735692,AJACCIO,FR
39,FR41022,AJACCIO DIAMANT,41.918172,8.736500,AJACCIO,FR
40,FR41003,AJACCIO PIATANICCIA,41.964442,8.820278,SARROLA-CARCOPINO,FR
41,FR41005,AJACCIO PORTICCIO,41.896078,8.804431,GROSSETO-PRUGNA,FR
42,FR41007,AJACCIO SPOSATA,41.949231,8.757586,AJACCIO,FR
43,FR12026,ALBI DELMAS,43.928056,2.146111,ALBI,FR
44,FR25030,ALEXIS CARREL ROUENG,49.429447,1.080289,,FR
45,FR11013,ALLENDE,50.620277,3.132792,,FR
46,FR31010,AMBES,45.012222,-0.528333,AMBÈS,FR
47,FR31034,AMBES 2,45.012222,-0.529722,AMBÈS,FR
48,FR23001,AMPERE,47.324097,-2.081567,DONGES,FR
